City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carnarvon,AU,-24.8667,113.6333,66.27,72,0,8.05,clear sky
1,Ust-Maya,RU,60.4167,134.5333,28.29,91,58,5.66,broken clouds
2,Jamestown,US,42.097,-79.2353,53.71,89,100,14.97,moderate rain
3,Cape Town,ZA,-33.9258,18.4232,64.11,73,0,13.0,clear sky
4,Albany,US,42.6001,-73.9662,66.16,31,13,3.0,few clouds
5,Mehamn,NO,71.0357,27.8492,28.35,74,75,3.44,broken clouds
6,Thompson,CA,55.7435,-97.8558,24.96,86,100,13.8,overcast clouds
7,Hermanus,ZA,-34.4187,19.2345,62.8,84,0,10.74,clear sky
8,Rikitea,PF,-23.1203,-134.9692,76.41,72,34,5.97,scattered clouds
9,Ushuaia,AR,-54.8,-68.3,46.06,76,75,20.71,broken clouds
10,Olean,US,42.0776,-78.4297,61.38,71,100,5.75,moderate rain
11,La Ronge,CA,55.1001,-105.2842,32.25,69,100,6.91,overcast clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,80,0,14.97,clear sky
13,Khatanga,RU,71.9667,102.5,17.01,95,98,11.68,overcast clouds
14,Vao,NC,-22.6667,167.4833,75.42,84,32,21.3,scattered clouds
15,Kapaa,US,22.0752,-159.319,74.12,85,20,21.85,few clouds
16,Tasiilaq,GL,65.6145,-37.6368,32.16,64,96,11.01,overcast clouds
17,Madera,US,37.1666,-119.8343,74.88,57,0,1.01,clear sky
18,Punta Arenas,CL,-53.15,-70.9167,48.11,87,85,6.11,overcast clouds
19,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,3.44,broken clouds
20,Chuy,UY,-33.6971,-53.4616,65.3,47,4,10.36,clear sky
21,Victoria,HK,22.2855,114.1577,65.25,92,100,5.99,moderate rain
22,Riohacha,CO,11.5444,-72.9072,88.27,64,100,4.72,overcast clouds
23,Castro,BR,-24.7911,-50.0119,72.93,65,19,8.88,few clouds
24,Georgetown,MY,5.4112,100.3354,84.13,84,20,0.0,few clouds
25,Matagami,CA,49.7502,-77.6328,57.31,26,0,12.66,clear sky
26,Hailar,CN,49.2,119.7,40.32,37,36,8.88,scattered clouds
27,Pisco,PE,-13.7,-76.2167,69.03,77,0,8.05,clear sky
28,Yellowknife,CA,62.456,-114.3525,37.56,60,14,11.99,few clouds
29,Colares,PT,38.7992,-9.4469,67.28,59,20,24.0,few clouds
30,Hobart,AU,-42.8794,147.3294,61.27,76,91,5.75,overcast clouds
31,San Quintin,MX,30.4833,-115.95,64.33,70,29,8.23,scattered clouds
32,Sabang,ID,5.8933,95.3214,84.06,75,97,22.93,overcast clouds
33,Padang,ID,-0.9492,100.3543,75.25,89,97,2.68,overcast clouds
34,Mar Del Plata,AR,-38.0023,-57.5575,55.87,68,75,13.8,light rain
35,Bengkulu,ID,-3.8004,102.2655,76.75,90,100,4.03,overcast clouds
36,Port Maria,JM,18.3685,-76.8895,87.76,83,100,12.86,overcast clouds
37,Bluff,NZ,-46.6,168.3333,44.8,91,20,8.75,few clouds
38,Namibe,AO,-15.1961,12.1522,74.14,76,9,15.55,clear sky
39,Jalingo,NG,8.8833,11.3667,98.19,33,43,5.23,scattered clouds
40,Butaritari,KI,3.0707,172.7902,80.87,79,95,11.5,light rain
41,Conceicao Do Rio Verde,BR,-21.8808,-45.0853,76.12,55,1,5.59,clear sky
42,Sao Raimundo Nonato,BR,-9.0153,-42.6994,94.5,25,42,9.04,scattered clouds
43,Antalaha,MG,-14.9003,50.2788,76.53,88,22,5.5,few clouds
44,Andenes,NO,69.3143,16.1194,33.78,93,100,19.57,overcast clouds
45,Wasilla,US,61.5814,-149.4394,48.18,48,100,11.5,overcast clouds
46,Geraldton,AU,-28.7667,114.6,55.81,76,0,6.91,clear sky
47,Achikulak,RU,44.5517,44.8378,60.48,34,100,12.95,overcast clouds
48,Santa Cruz,BO,-17.8,-63.1667,86.05,54,75,17.27,broken clouds
49,Caraquet,CA,47.7941,-64.9386,46.94,83,100,10.38,overcast clouds
50,Port Alfred,ZA,-33.5906,26.891,59.18,88,5,1.99,clear sky
51,Llangefni,GB,53.2556,-4.3106,51.66,100,100,13.8,mist
52,Severnyy,RU,50.677,36.5532,50.04,43,0,2.24,clear sky
53,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,71,0,14.97,clear sky
54,Gornopravdinsk,RU,60.05,69.9,37.69,67,99,4.81,overcast clouds
55,Jalu,LY,29.0331,21.5482,94.5,13,86,13.35,overcast clouds
56,Chokurdakh,RU,70.6333,147.9167,15.3,96,38,7.81,scattered clouds
57,Aklavik,CA,68.2191,-135.0107,39.2,65,20,10.36,few clouds
58,Husavik,IS,66.0449,-17.3389,29.41,70,100,13.98,overcast clouds
59,Nizwa,OM,22.9333,57.5333,85.68,19,0,6.46,clear sky
60,Sobolevo,RU,54.4299,31.8996,45.82,71,96,4.56,overcast clouds
61,Grindavik,IS,63.8424,-22.4338,43.27,61,0,12.66,clear sky
62,Qaqortoq,GL,60.7167,-46.0333,40.87,80,81,6.51,broken clouds
63,Sungairaya,ID,0.7,108.9,79.63,87,63,5.68,broken clouds
64,Dikson,RU,73.5069,80.5464,9.79,98,57,10.67,broken clouds
65,Faanui,PF,-16.4833,-151.75,80.4,74,29,10.98,scattered clouds
66,Port Hardy,CA,50.6996,-127.4199,48.38,87,100,3.44,overcast clouds
67,Jega,NG,12.2175,4.3792,104.2,13,38,5.41,scattered clouds
68,Hofn,IS,64.2539,-15.2082,39.7,86,51,13.18,broken clouds
69,Arinos,BR,-15.9169,-46.1056,92.1,24,0,3.06,clear sky
70,Barrow,US,71.2906,-156.7887,21.22,86,100,13.8,overcast clouds
71,Hilo,US,19.7297,-155.09,73.27,94,100,13.8,moderate rain
72,Atuona,PF,-9.8,-139.0333,78.67,77,58,13.71,broken clouds
73,Isangel,VU,-19.55,169.2667,78.71,89,100,3.94,overcast clouds
74,Mortka,RU,59.3322,66.0214,39.27,64,100,2.68,overcast clouds
75,Saldanha,ZA,-33.0117,17.9442,64.45,85,0,16.53,clear sky
76,Mayo,US,38.8876,-76.5119,68.49,66,100,6.91,overcast clouds
77,Baoying,CN,33.2292,119.3092,53.83,64,25,8.99,scattered clouds
78,Sao Borja,BR,-28.6606,-56.0044,66.94,87,99,3.89,overcast clouds
79,Chenghai,CN,23.4632,116.768,62.51,100,100,6.71,overcast clouds
80,Kaitangata,NZ,-46.2817,169.8464,48.94,95,23,4.23,few clouds
81,Lorengau,PG,-2.0226,147.2712,81.25,76,8,4.29,clear sky
82,Saskylakh,RU,71.9167,114.0833,10.63,96,71,6.08,broken clouds
83,Tuatapere,NZ,-46.1333,167.6833,48.06,93,37,5.55,scattered clouds
84,Namatanai,PG,-3.6667,152.4333,78.93,81,59,2.01,broken clouds
85,Ribeira Grande,PT,38.5167,-28.7,64.8,82,75,4.61,broken clouds
86,Fort Nelson,CA,58.8053,-122.7002,39.11,86,63,5.66,broken clouds
87,Barcelos,PT,41.5388,-8.6151,62.85,66,29,12.68,scattered clouds
88,Cidreira,BR,-30.1811,-50.2056,64.2,86,100,7.4,overcast clouds
89,Puerto Ayora,EC,-0.7393,-90.3518,80.56,80,69,7.61,broken clouds
90,San Jose,US,37.3394,-121.895,65.48,56,20,5.99,few clouds
91,Mataura,NZ,-46.1927,168.8643,44.47,98,26,2.57,scattered clouds
92,Sept-Iles,CA,50.2001,-66.3821,52.23,46,75,16.11,broken clouds
93,Harrison,US,30.4091,-89.0436,77.05,82,0,8.05,clear sky
94,Quixeramobim,BR,-5.1992,-39.2928,90.52,41,93,8.14,light rain
95,Puerto Penasco,MX,31.3167,-113.5333,74.91,70,3,8.01,clear sky
96,Kitakata,JP,37.65,139.8667,43.25,97,60,3.0,broken clouds
97,Cherskiy,RU,68.75,161.3,8.4,92,18,6.89,few clouds
98,Ampanihy,MG,-24.7,44.75,68.07,82,22,6.96,few clouds
99,Abu Samrah,SY,35.3029,37.1841,65.05,61,0,16.42,clear sky
100,Price,US,39.5994,-110.8107,60.12,17,0,5.75,clear sky
101,Vuktyl,RU,63.8567,57.3094,28.33,86,91,1.36,overcast clouds
102,Quesnel,CA,52.9999,-122.5029,46.9,61,0,4.61,clear sky
103,Port Elizabeth,ZA,-33.918,25.5701,64.31,85,20,12.66,few clouds
104,Ndioum,SN,16.5129,-14.6471,107.49,7,6,3.8,clear sky
105,Atherton,GB,53.5237,-2.4935,56.89,78,100,2.66,overcast clouds
106,Upernavik,GL,72.7868,-56.1549,13.93,64,92,4.32,overcast clouds
107,Hornepayne,CA,49.2138,-84.7705,45.1,76,100,10.56,overcast clouds
108,Washington,US,47.5001,-120.5015,56.19,58,7,2.37,clear sky
109,Nanortalik,GL,60.1432,-45.2371,38.66,85,98,8.3,overcast clouds
110,Tiksi,RU,71.6872,128.8694,16.74,91,88,13.89,overcast clouds
111,Torbay,CA,47.6666,-52.7314,54.88,79,75,5.01,broken clouds
112,Gull Lake,CA,50.1001,-108.4847,51.73,42,100,7.96,overcast clouds
113,Semey,KZ,50.4111,80.2275,72.97,28,99,16.93,overcast clouds
114,Ikalamavony,MG,-21.15,46.5833,64.08,65,15,1.05,few clouds
115,Kohlu,PK,29.8962,69.252,83.48,11,60,2.1,broken clouds
116,Souillac,MU,-20.5167,57.5167,75.58,88,75,3.44,broken clouds
117,Karasuk,RU,53.7377,78.0403,62.58,61,100,7.25,overcast clouds
118,Longyearbyen,SJ,78.2186,15.6401,15.64,57,75,8.05,broken clouds
119,Casablanca,MA,33.5928,-7.6192,79.02,68,20,6.91,few clouds
120,Vaini,TO,-21.2,-175.2,78.96,94,75,9.22,broken clouds
121,Constitucion,CL,-35.3333,-72.4167,59.27,58,1,13.31,clear sky
122,Camopi,GF,3.1655,-52.3158,82.27,70,66,3.27,broken clouds
123,Porto Walter,BR,-8.2686,-72.7439,90.63,49,44,0.83,scattered clouds
124,Lebu,CL,-37.6167,-73.65,55.36,74,100,15.39,overcast clouds
125,Mahebourg,MU,-20.4081,57.7,75.49,88,75,3.44,broken clouds
126,Tatawin,TN,32.9297,10.4518,64.94,51,24,13.96,few clouds
127,Havre-Saint-Pierre,CA,50.2334,-63.5986,43.16,61,100,6.91,overcast clouds
128,Ukiah,US,39.1502,-123.2078,65.05,62,0,8.05,clear sky
129,Avarua,CK,-21.2078,-159.775,71.65,100,100,1.14,overcast clouds
130,Port-Gentil,GA,-0.7193,8.7815,84.16,79,40,11.5,scattered clouds
131,Fortuna,US,40.5982,-124.1573,58.93,78,75,10.36,broken clouds
132,Qaanaaq,GL,77.484,-69.3632,12.87,66,20,5.12,few clouds
133,High River,CA,50.5834,-113.8687,54.68,49,92,9.95,overcast clouds
134,Provideniya,RU,64.3833,-173.3,23.86,76,88,11.7,overcast clouds
135,Saint-Joseph,RE,-21.3667,55.6167,75.58,82,27,4.79,scattered clouds
136,La Primavera,CO,5.4906,-70.4092,86.99,56,79,6.91,broken clouds
137,Olenino,RU,56.2092,33.4889,43.48,60,98,2.84,overcast clouds
138,Codrington,AU,-38.2667,141.9667,56.46,89,61,9.22,broken clouds
139,Liverpool,GB,53.4106,-2.9779,57.29,84,40,1.14,scattered clouds
140,Tashtyp,RU,52.7939,89.8983,59.74,39,99,3.27,overcast clouds
141,Gaoua,BF,10.2992,-3.2508,99.1,25,74,5.77,broken clouds
142,Wonosobo,ID,-7.36,109.9025,68.95,94,85,1.3,light rain
143,Muleba,TZ,-1.8397,31.6544,65.28,83,97,5.06,overcast clouds
144,Damghan,IR,36.1683,54.348,60.94,61,85,3.02,overcast clouds
145,Inhambane,MZ,-23.865,35.3833,71.65,75,38,10.29,light rain
146,Ostrovnoy,RU,68.0531,39.5131,24.66,83,91,7.81,overcast clouds
147,Talnakh,RU,69.4865,88.3972,20.21,91,100,7.23,overcast clouds
148,Diamantino,BR,-14.4086,-56.4461,92.8,31,10,3.06,clear sky
149,Bellevue,US,47.6104,-122.2007,56.21,81,100,6.91,overcast clouds
150,Gopalpur,IN,19.2667,84.9167,81.32,83,64,19.1,broken clouds
151,Belmonte,BR,-15.8631,-38.8828,81.7,62,17,7.02,few clouds
152,Hamilton,US,39.1834,-84.5333,75.42,43,0,20.71,clear sky
153,Alofi,NU,-19.0595,-169.9187,75.09,94,99,2.3,overcast clouds
154,Rawson,AR,-43.3002,-65.1023,52.74,52,98,5.88,overcast clouds
155,Norman Wells,CA,65.282,-126.8329,44.64,49,40,19.57,scattered clouds
156,Sitka,US,57.0531,-135.33,48.09,61,100,17.27,overcast clouds
157,Mazagao,BR,-0.115,-51.2894,82.45,82,90,3.98,overcast clouds
158,Lake Charles,US,30.2131,-93.2044,87.03,65,75,9.22,broken clouds
159,Fuyu,CN,45.1833,124.8167,39.87,77,34,6.13,scattered clouds
160,Bonthe,SL,7.5264,-12.505,85.39,67,71,12.39,broken clouds
161,Williston,US,48.147,-103.618,55.81,44,75,5.01,broken clouds
162,Leningradskiy,RU,69.3833,178.4167,0.66,84,76,6.33,broken clouds
163,Provost,CA,52.3501,-110.2683,54.05,62,100,12.66,overcast clouds
164,Sao Filipe,CV,14.8961,-24.4956,75.7,71,0,10.02,clear sky
165,Mildura,AU,-34.2,142.15,48.16,100,0,2.3,clear sky
166,Kashi,CN,39.4547,75.9797,65.41,25,53,6.71,broken clouds
167,Petatlan,MX,17.5167,-101.2667,85.8,27,36,7.27,scattered clouds
168,Roald,NO,62.5833,6.1333,51.17,76,0,19.57,clear sky
169,Ponta Do Sol,PT,32.6667,-17.1,72.23,60,0,2.1,clear sky
170,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,58.03,96,98,5.79,overcast clouds
171,Kruisfontein,ZA,-34.0033,24.7314,58.89,91,3,3.98,clear sky
172,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,82,75,2.8,broken clouds
173,Port Augusta,AU,-32.5,137.7667,57.74,58,0,3.04,clear sky
174,Henties Bay,NA,-22.116,14.2845,62.24,76,2,4.92,clear sky
175,Impfondo,CG,1.6381,18.0667,81.66,59,31,4.72,scattered clouds
176,Vila Velha,BR,-20.3297,-40.2925,85.95,65,75,13.8,broken clouds
177,Pechenga,RU,69.5259,31.1703,27.84,77,94,1.21,overcast clouds
178,Yate,GB,51.5407,-2.4184,52.54,90,100,3.85,overcast clouds
179,San Blas,MX,21.5167,-105.2667,94.89,46,100,6.13,overcast clouds
180,Conde,BR,-7.2597,-34.9075,80.06,89,75,11.5,broken clouds
181,Ustye,RU,59.6304,39.736,37.09,92,99,4.76,overcast clouds
182,Bilma,NE,18.6853,12.9164,104.02,10,60,5.84,broken clouds
183,Neustrelitz,DE,53.3667,13.0833,53.44,67,100,5.86,overcast clouds
184,Nikolskoye,RU,59.7035,30.7861,46.71,70,53,3.09,broken clouds
185,Uchiza,PE,-8.4592,-76.4633,84.87,57,46,3.11,scattered clouds
186,New Norfolk,AU,-42.7826,147.0587,58.91,84,97,5.28,overcast clouds
187,Povenets,RU,62.8487,34.8262,33.48,87,97,4.03,light snow
188,Pingdingshan,CN,33.7385,113.3012,58.37,27,26,6.26,scattered clouds
189,Paita,PE,-5.0892,-81.1144,72.81,72,96,9.13,overcast clouds
190,Ludvika,SE,60.1496,15.1878,53.6,35,97,4.41,overcast clouds
191,Omboue,GA,-1.5746,9.2618,80.46,81,73,7.07,broken clouds
192,Asyut,EG,27.181,31.1837,85.91,15,2,8.01,clear sky
193,Zhaodong,CN,46.0833,125.9833,40.14,70,23,4.81,few clouds
194,Mendoza,AR,-32.8908,-68.8272,65.73,27,0,5.75,clear sky
195,Tsiroanomandidy,MG,-18.7667,46.0333,64.65,86,44,3.62,scattered clouds
196,Gat,IL,31.61,34.7642,67.41,100,2,4.03,clear sky
197,Eureka,US,40.8021,-124.1637,59.2,73,3,5.01,clear sky
198,Kamenka,RU,51.3223,42.7678,42.89,50,51,5.68,broken clouds
199,Pevek,RU,69.7008,170.3133,-3.33,92,49,5.53,scattered clouds
200,Changtu,CN,42.7788,124.0955,41.27,68,13,4.97,few clouds
201,Karratha,AU,-20.7377,116.8463,82.17,50,98,7.49,overcast clouds
202,Saint-Georges,GD,12.0564,-61.7485,85.68,70,40,24.16,scattered clouds
203,Cockburn Town,TC,21.4612,-71.1419,80.56,65,40,19.57,scattered clouds
204,Oleksandrivka,UA,48.9634,32.2349,51.44,66,59,6.26,broken clouds
205,Busselton,AU,-33.65,115.3333,57.2,84,9,2.64,clear sky
206,Nabire,ID,-3.3667,135.4833,75.96,92,99,3.47,overcast clouds
207,Fukue,JP,32.6881,128.8419,60.58,50,100,17.81,overcast clouds
208,Brewster,US,41.3973,-73.6171,71.44,30,0,4.61,clear sky
209,Berlevag,NO,70.8578,29.0864,28.4,67,94,3.74,overcast clouds
210,Auki,SB,-8.7676,160.7034,77.11,89,100,4.47,light rain
211,Yarkovo,RU,57.4028,67.0786,41.23,57,91,8.14,overcast clouds
212,Devils Lake,US,48.1128,-98.8651,37.51,88,100,27.63,overcast clouds
213,Goderich,CA,43.7501,-81.7165,53.92,82,100,17.27,overcast clouds
214,Sentjur,SI,46.2172,15.3975,56.32,86,100,3.47,moderate rain
215,Fairbanks,US,64.8378,-147.7164,47.25,54,0,10.36,clear sky
216,Teguajinal,HN,15.3667,-86.6,77.0,53,90,3.76,overcast clouds
217,Bela,IN,25.9333,81.9833,93.34,22,0,7.4,clear sky
218,Katsuura,JP,35.1333,140.3,53.82,88,100,16.78,overcast clouds
219,Kemin,KG,42.7846,75.6892,63.9,40,79,7.09,broken clouds
220,Vila,PT,42.0304,-8.1588,56.7,67,8,7.61,clear sky
221,Lashio,MM,22.9333,97.75,65.89,76,1,1.86,clear sky
222,Kraliky,CZ,50.0838,16.7605,57.36,88,100,3.98,overcast clouds
223,Zwedru,LR,6.0667,-8.1281,88.81,54,99,4.36,overcast clouds
224,Juba,SS,4.8517,31.5825,80.15,60,55,1.45,light rain
225,Karpogory,RU,64.0019,44.4451,26.24,90,45,3.8,scattered clouds
226,Tamandare,BR,-8.7597,-35.1047,82.89,70,33,11.18,scattered clouds
227,Esperance,AU,-33.8667,121.9,55.24,68,0,4.54,clear sky
228,Nishihara,JP,26.1842,127.7558,67.28,78,100,14.97,overcast clouds
229,Cabo San Lucas,MX,22.8909,-109.9124,83.5,57,84,3.0,broken clouds
230,Bredasdorp,ZA,-34.5322,20.0403,58.39,90,0,5.26,clear sky
231,Camacha,PT,33.0833,-16.3333,65.62,73,20,13.8,few clouds
232,Stokmarknes,NO,68.5646,14.9108,37.38,93,75,10.36,shower rain
233,Bathsheba,BB,13.2167,-59.5167,86.61,70,20,18.41,few clouds
234,Hithadhoo,MV,-0.6,73.0833,85.84,71,76,15.43,heavy intensity rain
235,Kingman,US,35.1894,-114.053,75.13,12,0,31.07,haze
236,Nueva Guinea,NI,11.6876,-84.4562,87.49,54,100,9.01,overcast clouds
237,Korla,CN,41.7597,86.1469,63.55,23,95,6.62,overcast clouds
238,Berlin,DE,52.5244,13.4105,61.99,58,20,9.22,few clouds
239,Kutum,SD,14.2,24.6667,88.38,7,74,9.37,broken clouds
240,Phonhong,LA,18.5007,102.4166,74.46,83,67,3.13,light rain
